givid,id,family
65,B322_0496,DO093
198,B322_0592,CW075
227,B322_0283,CW075
467,B322_0529,BH034
450,B322_0659,BH034
515,B322_0553,ET124
529,B322_0626,ET124
118,B322_0625,HI191
153,B322_0245,DZ104
17,B322_0436,AP016
30,B322_0402,AP016
302,B322_0707,EM117
356,B322_0705,GT176
127,B322_0232,GT176
435,B322_0383,DH086
482,B322_0614,DH086
527,B322_0586,FZ156
371,B322_0083,FZ156
483,B322_0644,FW153
470,B322_0594,FW153
14,B322_0628,CV074
24,B322_0403,CV074
453,B322_0431,EK115
393,B322_0150,EK115
96,B322_0689,CD056
249,B322_0145,CI061
267,B322_0136,CI061
520,B322_0700,DJ088
146,B322_0253,FJ140
27,B322_0410,HR200
69,B322_0295,HR200
3,B322_0497,HR200
288,B322_0007,HL194
85,B322_0406,DD082
133,B322_0262,DD082
419,B322_0259,FA131
417,B322_0248,FA131
327,B322_0171,ER122
136,B322_0229,ER122
88,B322_0478,HC185
301,B322_0088,BS045
62,B322_0445,BS045
291,B322_0087,EY129
297,B322_0062,EY129
4,B322_0027,FU151
319,B322_0098,GR174
238,B322_0141,GR174
485,B322_0711,AA001
446,B322_0557,AA001
208,B322_0516,HN196
361,B322_0031,CK063
239,B322_0285,EX128
366,B322_0068,DG085
530,B322_0656,DG085
473,B322_0688,DG085
101,B322_0667,CS071
144,B322_0239,CS071
412,B322_0219,DM091
460,B322_0609,AR018
400,B322_0181,AR018
289,B322_0018,AQ017
9,B322_0466,AQ017
422,B322_0306,CF058
517,B322_0599,CF058
381,B322_0117,BJ036
77,B322_0469,FN144
186,B322_0568,FN144
53,B322_0455,GY181
112,B322_0633,GY181
64,B322_0465,FO145
199,B322_0130,FO145
87,B322_0476,HP198
364,B322_0052,DU099
505,B322_0598,DU099
207,B322_0511,CQ069
58,B322_0570,DR096
37,B322_0630,DR096
122,B322_0209,FB132
116,B322_0686,FB132
345,B322_0096,FL142
332,B322_0012,FL142
513,B322_0514,AV022
462,B322_0663,AV022
409,B322_0214,GX180
358,B322_0015,GX180
373,B322_0089,GX180
313,B322_0714,EL116
21,B322_0488,EL116
194,B322_0565,EL116
248,B322_0115,CT072
311,B322_0073,CT072
193,B322_0579,AT020
128,B322_0260,AT020
502,B322_0536,GZ182
408,B322_0213,GZ182
304,B322_0169,HA183
334,B322_0078,HA183
110,B322_0629,HA183
121,B322_0649,CE057
268,B322_0123,CE057
94,B322_0670,AZ026
236,B322_0108,AZ026
277,B322_0040,DI087
135,B322_0231,DI087
115,B322_0691,HB184
