givid,id,family
2,J292A_0113,J243_0300/J243_2275
10,J292A_0521,J243_0300/J243_2275
36,J292A_3058,J243_0300/J243_2275
198,J292A_4081,J243_0300/J243_2275
441,J292B_1372,J243_0300/J243_2275
466,J292B_2813,J243_0300/J243_2275
532,J292A_4095,J243_0300/J243_2275
189,J292A_3692,J243_2791/J243_0034
275,J292A_0382,J243_0627/J243_0707
53,J292A_4535,J243_3540/J243_0932
72,J292A_6210,J243_3540/J243_0932
245,J292A_6325,J243_3540/J243_0932
256,J292A_6523,J243_3540/J243_0932
339,J292A_3144,J243_3540/J243_0932
344,J292A_3435,J243_3540/J243_0932
411,J292A_6593,J243_3540/J243_0932
501,J292A_0255,J243_3540/J243_0932
193,J292A_3775,J243_0300/J243_1506
307,J292A_1488,J243_0300/J243_1506
362,J292A_5014,J243_0300/J243_1506
555,J292A_6331,J243_3077/J243_1611
86,J292A_6755,J243_1053/J243_1721
238,J292A_6055,J243_1053/J243_1721
77,J292A_6474,J243_0183/J243_1921
171,J292A_3160,J243_0183/J243_1921
393,J292A_6025,J243_0183/J243_1921
105,J292A_0285,J243_1882/J243_3574
139,J292A_1470,J243_1882/J243_3574
413,J292A_6625,J243_1882/J243_3574
588,J292B_3183,J243_1882/J243_3574
272,J292A_0298,J243_1290/J243_2238
369,J292A_5318,J243_1290/J243_2238
444,J292B_1388,J243_1290/J243_2238
20,J292A_0830,J243_3089/J243_2557
218,J292A_4726,J243_3089/J243_2557
79,J292A_6594,J243_3100/J243_2748
94,J292A_0021,J243_3100/J243_2748
107,J292A_0406,J243_3100/J243_2748
140,J292A_1491,J243_3100/J243_2748
169,J292A_2914,J243_3100/J243_2748
222,J292A_5229,J243_3100/J243_2748
259,J292A_6552,J243_3100/J243_2748
380,J292A_5504,J243_3100/J243_2748
503,J292A_0730,J243_3100/J243_2748
557,J292A_6355,J243_3100/J243_2748
203,J292A_4352,J243_0183/J243_2281
255,J292A_6521,J243_0183/J243_2281
405,J292A_6329,J243_0183/J243_2281
239,J292A_6094,J243_1626/J243_1775
448,J292B_1607,J243_1626/J243_1775
492,J292B_3078,J243_1626/J243_1775
416,J292A_6721,J243_0116/J243_2461
451,J292B_2565,J243_0116/J243_2461
506,J292A_1197,J243_0116/J243_2461
28,J292A_1271,J243_2576/J243_1060
74,J292A_6242,J243_2576/J243_1060
112,J292A_0676,J243_2576/J243_1060
128,J292A_1212,J243_2576/J243_1060
348,J292A_3690,J243_1040/J243_2957
121,J292A_0996,J243_2340/J243_2809
129,J292A_1234,J243_2340/J243_2809
226,J292A_5397,J243_2340/J243_2809
262,J292A_6574,J243_2340/J243_2809
457,J292B_2667,J243_2340/J243_2809
469,J292B_2830,J243_2340/J243_2809
474,J292B_2919,J243_2340/J243_2809
14,J292A_0683,J243_1902/J243_3105
136,J292A_1390,J243_1902/J243_3105
152,J292A_2302,J243_1902/J243_3105
213,J292A_4600,J243_1902/J243_3105
261,J292A_6563,J243_1902/J243_3105
283,J292A_0635,J243_1902/J243_3105
341,J292A_3276,J243_1902/J243_3105
373,J292A_5416,J243_1902/J243_3105
505,J292A_1013,J243_1902/J243_3105
276,J292A_0526,J243_3124/J243_2495
399,J292A_6084,J243_3124/J243_2495
498,J292B_3224,J243_3124/J243_2495
306,J292A_1440,J243_3208/J243_2594
383,J292A_5701,J243_0539/J243_2631
490,J292B_3058,J243_0539/J243_2631
476,J292B_2922,J243_0048/J243_0855
556,J292A_6340,J243_0048/J243_0855
586,J292B_3099,J243_0048/J243_0855
304,J292A_1408,J243_1986/J243_2866
330,J292A_2784,J243_1986/J243_2866
412,J292A_6601,J243_1986/J243_2866
417,J292A_6753,J243_1986/J243_2866
33,J292A_1558,J243_1882/J243_2547
305,J292A_1428,J243_1913/J243_0181
343,J292A_3394,J243_1913/J243_0181
346,J292A_3531,J243_1913/J243_0181
418,J292A_6795,J243_1913/J243_0181
554,J292A_6201,J243_1913/J243_0181
64,J292A_4652,J243_0663/J243_0352
65,J292A_4666,J243_0663/J243_0352
211,J292A_4528,J243_0663/J243_0352
217,J292A_4715,J243_0663/J243_0352
454,J292B_2640,J243_0663/J243_0352
502,J292A_0708,J243_0663/J243_0352
551,J292A_5895,J243_0663/J243_0352
300,J292A_1253,J243_3171/J243_2956
538,J292A_4934,J243_1587/J243_1914
70,J292A_5092,J243_1670/J243_2516
302,J292A_1337,J243_1670/J243_2516
510,J292A_1552,J243_1670/J243_2516
579,J292B_2841,J243_1670/J243_2516
479,J292B_2971,J243_2961/J243_0748
539,J292A_5060,J243_2961/J243_0748
135,J292A_1378,J243_0760/J243_1814
165,J292A_2750,J243_0760/J243_1814
170,J292A_3047,J243_0760/J243_1814
174,J292A_3225,J243_0760/J243_1814
214,J292A_4671,J243_0760/J243_1814
